date,open,high,low,close,volume,turnover,code,name
29/12/2022,6247.81,6319.06,6230.52,6289.83,23514400,1215907979,TMTI,المواد الأساسية
28/12/2022,6129.07,6248.44,6115.54,6248.44,31073384,1833020971,TMTI,المواد الأساسية
27/12/2022,6052.97,6140.77,6046.63,6125.17,13485333,504645851.1,TMTI,المواد الأساسية
26/12/2022,6058.54,6094.87,6043.64,6049.37,14073845,435661921.2,TMTI,المواد الأساسية
25/12/2022,6093.7,6105.55,6055.93,6055.93,14931112,464155815.3,TMTI,المواد الأساسية
22/12/2022,6133.93,6146.97,6092.15,6094.96,16481330,582158682.1,TMTI,المواد الأساسية
21/12/2022,6150.59,6168.56,6093,6124.13,20929859,742748519.7,TMTI,المواد الأساسية
20/12/2022,6007.5,6136.96,5967.26,6136.96,26912313,1283680786,TMTI,المواد الأساسية
19/12/2022,6045.6,6050.22,5964.19,5999.35,21048929,761208909.3,TMTI,المواد الأساسية
18/12/2022,6029.49,6077.76,6006.92,6046.67,18929252,623259803,TMTI,المواد الأساسية
15/12/2022,5985.34,6050.23,5956.38,6036.59,35629928,1416170424,TMTI,المواد الأساسية
14/12/2022,6008.6,6066.74,5952,5994.87,28037280,972311150.1,TMTI,المواد الأساسية
13/12/2022,5958.87,6044.75,5958.87,5987.53,26771216,1068310473,TMTI,المواد الأساسية
12/12/2022,5976.28,5981.42,5873.42,5935.29,28294722,1057690235,TMTI,المواد الأساسية
11/12/2022,6102.26,6135.86,5973.06,5980.84,18899989,707523018.2,TMTI,المواد الأساسية
8/12/2022,6025.8,6115.87,5981.16,6105.88,23298157,891837247.1,TMTI,المواد الأساسية
7/12/2022,6160.83,6184.18,6006.82,6006.82,32501679,914367680.2,TMTI,المواد الأساسية
6/12/2022,6070.75,6155.92,6029.35,6155.92,29735545,1220062244,TMTI,المواد الأساسية
5/12/2022,6212.2,6215.53,6090.22,6090.22,23032127,957714012.2,TMTI,المواد الأساسية
4/12/2022,6310.9,6316.86,6192.38,6192.38,18872600,672088508,TMTI,المواد الأساسية
1/12/2022,6247.15,6317.75,6231.83,6275.62,25964053,1056338080,TMTI,المواد الأساسية
30/11/2022,6094.12,6204.58,6061.23,6204.58,29089854,1288346141,TMTI,المواد الأساسية
29/11/2022,6073.91,6128.92,6053.93,6086.66,21965629,891639302.2,TMTI,المواد الأساسية
28/11/2022,5982.88,6147.81,5919.73,6064.46,24166165,1021596804,TMTI,المواد الأساسية
27/11/2022,6143.51,6143.51,6027.59,6059.2,18136121,614304774.2,TMTI,المواد الأساسية
24/11/2022,6183.56,6191.33,6098.37,6145.08,21476655,793340167.7,TMTI,المواد الأساسية
22/11/2022,6176.48,6186.18,6101.51,6182.3,16516316,759912583.2,TMTI,المواد الأساسية
21/11/2022,6276.62,6276.62,6130.65,6176.08,19826874,815945281.4,TMTI,المواد الأساسية
20/11/2022,6381.88,6381.88,6265.32,6280.3,18611197,719571624.6,TMTI,المواد الأساسية
17/11/2022,6367.34,6375.76,6323.88,6368.05,19182425,787208009.6,TMTI,المواد الأساسية
16/11/2022,6287.56,6354.24,6245.29,6354.24,24994925,1005583336,TMTI,المواد الأساسية
15/11/2022,6369.14,6371.44,6279.22,6296.47,25474199,926662194.6,TMTI,المواد الأساسية
14/11/2022,6380.79,6380.79,6264.39,6353.3,27065760,1218653854,TMTI,المواد الأساسية
13/11/2022,6489.41,6492.67,6378.7,6378.7,20002268,773127531.3,TMTI,المواد الأساسية
10/11/2022,6490.19,6490.19,6356.26,6388.27,26087315,946314378,TMTI,المواد الأساسية
9/11/2022,6570.63,6570.63,6483.83,6510.81,19865517,795247197.2,TMTI,المواد الأساسية
8/11/2022,6626.74,6638.55,6524.23,6564.7,21605579,863088424.5,TMTI,المواد الأساسية
7/11/2022,6659.74,6659.74,6543.6,6626.3,20588821,1022708520,TMTI,المواد الأساسية
6/11/2022,6687.1,6719.88,6645.09,6657.48,20189315,839337272.4,TMTI,المواد الأساسية
3/11/2022,6601.19,6627.43,6536.56,6594.47,28594928,1251445586,TMTI,المواد الأساسية
2/11/2022,6643.03,6677.27,6426.16,6639.93,45159369,2257190225,TMTI,المواد الأساسية
1/11/2022,6913.08,6920.35,6655.56,6696.44,32169199,1558538276,TMTI,المواد الأساسية
31/10/2022,6957.86,6968.37,6899.69,6939.62,19775040,842594330.6,TMTI,المواد الأساسية
30/10/2022,6952.46,7003.05,6937.71,6950.74,18154729,826593978.7,TMTI,المواد الأساسية
27/10/2022,7010.87,7042.73,6937.61,6948.94,34552642,1373005362,TMTI,المواد الأساسية
26/10/2022,7138.06,7161.13,6958.42,7004.62,38540335,1898051042,TMTI,المواد الأساسية
25/10/2022,7184.21,7238.08,7110.46,7126.22,30423111,1521152434,TMTI,المواد الأساسية
24/10/2022,7133.18,7185.76,7095.33,7180.7,37098155,1796248848,TMTI,المواد الأساسية
23/10/2022,7153.23,7206.78,7153.23,7163.43,31307967,1299764906,TMTI,المواد الأساسية
20/10/2022,7036,7119.42,7032.87,7119.42,29745706,1308099256,TMTI,المواد الأساسية
19/10/2022,7055.48,7072.76,7007.32,7031.22,24971924,1064691058,TMTI,المواد الأساسية
18/10/2022,6979.27,7045.06,6978.56,7045.06,31690373,1452964814,TMTI,المواد الأساسية
17/10/2022,6868.52,6963.3,6859.15,6947.38,22388515,1099531481,TMTI,المواد الأساسية
16/10/2022,6868.7,6898.1,6803.32,6852.77,16304963,641403078.8,TMTI,المواد الأساسية
13/10/2022,6913.51,6932.59,6860.48,6860.48,18316936,820509999.5,TMTI,المواد الأساسية
12/10/2022,6894.73,6956.58,6888.93,6912.78,23413646,957736648.8,TMTI,المواد الأساسية
11/10/2022,6899.8,6912.85,6863.23,6879.93,18039120,765861907,TMTI,المواد الأساسية
10/10/2022,6887.03,6938.38,6818.94,6903.68,21976714,907835514,TMTI,المواد الأساسية
9/10/2022,7040.77,7059.49,6893.66,6893.66,24108613,900150677.8,TMTI,المواد الأساسية
